iter	Passed	Remaining
0	2	205
1	3	170
2	4	146
3	5	131
4	7	139
5	8	135
6	11	155
7	12	148
8	14	146
9	16	145
10	17	139
11	18	133
12	19	130
13	20	126
14	22	125
15	28	148
16	29	144
17	30	140
18	32	137
19	34	137
20	35	133
21	37	134
22	39	131
23	40	128
24	41	125
25	43	123
26	44	121
27	46	120
28	48	117
29	49	116
30	51	113
31	52	111
32	54	110
33	55	107
34	56	105
35	58	103
36	59	101
37	62	101
38	63	99
39	64	97
40	66	95
41	67	93
42	68	90
43	69	88
44	70	86
45	72	84
46	75	85
47	76	83
48	85	89
49	86	86
50	89	86
51	91	84
52	92	82
53	93	80
54	94	77
55	97	76
56	99	74
57	101	73
58	103	72
59	107	71
60	115	73
61	116	71
62	117	69
63	120	67
64	121	65
65	122	63
66	124	61
67	126	59
68	128	57
69	129	55
70	130	53
71	132	51
72	134	49
73	135	47
74	136	45
75	137	43
76	139	41
77	140	39
78	141	37
79	142	35
80	144	33
81	145	32
82	147	30
83	148	28
84	150	26
85	151	24
86	153	22
87	154	21
88	156	19
89	156	17
90	158	15
91	160	13
92	162	12
93	163	10
94	165	8
95	166	6
96	168	5
97	170	3
98	172	1
99	174	0
