iter	Passed	Remaining
0	141	141007
1	143	71705
2	147	48861
3	149	37142
4	151	30116
5	153	25488
6	155	22044
7	156	19445
8	158	17402
9	159	15766
10	160	14425
11	161	13302
12	162	12358
13	163	11535
14	165	10889
15	166	10267
16	167	9706
17	168	9197
18	169	8737
19	169	8327
20	170	7969
21	171	7626
22	172	7318
23	172	7031
24	173	6768
25	174	6523
26	174	6302
27	175	6092
28	176	5900
29	176	5718
30	177	5548
31	178	5388
32	178	5240
33	180	5114
34	181	4991
35	181	4865
36	182	4744
37	182	4632
38	183	4524
39	184	4420
40	184	4323
41	185	4230
42	186	4141
43	186	4058
44	187	3977
45	188	3905
46	189	3833
47	189	3766
48	190	3698
49	191	3632
50	191	3568
51	192	3507
52	193	3457
53	194	3410
54	195	3357
55	196	3306
56	196	3255
57	197	3205
58	197	3157
59	198	3111
60	199	3066
61	199	3024
62	200	2982
63	201	2942
64	201	2903
65	202	2865
66	203	2828
67	203	2791
68	204	2756
69	204	2722
70	205	2688
71	206	2656
72	206	2624
73	207	2593
74	208	2570
75	209	2549
76	210	2524
77	211	2496
78	211	2469
79	212	2442
80	213	2416
81	213	2392
82	214	2364
83	214	2340
84	215	2317
85	215	2294
86	216	2272
87	217	2250
88	217	2229
89	218	2208
90	218	2187
91	219	2167
92	220	2147
93	220	2127
94	221	2108
95	221	2090
96	222	2075
97	224	2066
98	225	2050
99	226	2034
100	226	2017
101	227	2002
102	228	1989
103	229	1974
104	229	1960
105	230	1944
106	231	1929
107	231	1914
108	232	1900
109	233	1885
110	233	1871
111	234	1857
112	234	1843
113	235	1830
114	236	1817
115	236	1805
116	238	1803
117	239	1792
118	240	1781
119	241	1769
120	242	1758
121	242	1745
122	243	1737
123	244	1730
124	245	1720
125	246	1710
126	247	1699
127	248	1690
128	248	1680
129	250	1674
130	250	1664
131	254	1671
132	255	1663
133	256	1655
134	257	1649
135	259	1651
136	261	1646
137	262	1637
138	262	1627
139	263	1618
140	264	1609
141	264	1599
142	268	1612
143	270	1606
144	271	1598
145	271	1590
146	275	1600
147	276	1593
148	277	1586
149	278	1578
150	279	1571
151	280	1563
152	284	1575
153	285	1568
154	286	1561
155	287	1554
156	290	1558
157	291	1555
158	292	1548
159	293	1541
160	294	1532
161	294	1524
162	297	1527
163	298	1522
164	299	1516
165	300	1512
166	302	1510
167	303	1502
168	304	1496
169	305	1489
170	305	1482
171	310	1494
172	311	1488
173	312	1484
174	315	1487
175	317	1485
176	318	1478
177	318	1472
178	319	1466
179	320	1459
180	324	1469
181	325	1463
182	326	1458
183	328	1458
184	330	1454
185	331	1452
186	332	1446
187	333	1440
188	334	1433
189	334	1427
190	335	1422
191	337	1422
192	339	1417
193	339	1412
194	342	1414
195	344	1412
196	345	1408
197	346	1402
198	347	1396
199	347	1391
200	348	1385
201	349	1382
202	350	1377
203	351	1373
204	354	1373
205	355	1370
206	357	1368
207	357	1363
208	358	1357
209	359	1352
210	360	1346
211	360	1340
212	363	1342
213	364	1338
214	365	1335
215	366	1331
216	371	1341
217	372	1337
218	374	1333
219	384	1364
220	387	1364
221	389	1365
222	393	1371
223	394	1367
224	395	1363
225	397	1361
226	399	1359
227	400	1354
228	401	1350
229	401	1344
230	402	1339
231	403	1334
232	403	1329
233	404	1324
234	408	1331
235	409	1327
236	411	1324
237	413	1324
238	414	1320
239	416	1317
240	416	1312
241	417	1307
242	417	1302
243	418	1296
244	419	1291
245	419	1286
246	421	1284
247	423	1283
248	424	1278
249	424	1274
250	425	1269
251	426	1265
252	427	1260
253	428	1257
254	429	1255
255	430	1251
256	432	1249
257	433	1246
258	434	1241
259	434	1237
260	438	1240
261	438	1236
262	439	1232
263	440	1228
264	441	1224
265	442	1221
266	443	1218
267	444	1214
268	445	1211
269	446	1206
270	446	1202
271	447	1197
272	448	1193
273	448	1188
274	449	1184
275	450	1182
276	452	1181
277	453	1177
278	454	1174
279	455	1171
280	457	1169
281	458	1166
282	459	1163
283	459	1159
284	460	1156
285	461	1153
286	462	1149
287	463	1146
288	465	1145
289	466	1141
290	466	1137
291	467	1134
292	469	1132
293	470	1130
294	471	1126
295	472	1122
296	472	1119
297	473	1116
298	474	1112
299	475	1109
300	476	1107
301	477	1103
302	479	1102
303	480	1099
304	480	1095
305	481	1092
306	482	1089
307	483	1086
308	484	1083
309	485	1079
310	485	1076
311	486	1073
312	487	1069
313	488	1066
314	489	1063
315	490	1060
316	490	1057
317	491	1054
318	494	1054
319	495	1053
320	496	1050
321	497	1047
322	498	1044
323	499	1041
324	499	1037
325	500	1034
326	500	1031
327	501	1027
328	502	1024
329	502	1020
330	503	1017
331	504	1014
332	504	1010
333	505	1007
334	505	1004
335	507	1002
336	508	1000
337	510	999
338	511	996
339	512	994
340	513	991
341	513	988
342	514	985
343	515	982
344	516	980
345	517	977
346	518	975
347	519	972
348	520	970
349	521	968
350	522	966
351	523	963
352	524	961
353	525	959
354	526	956
355	527	954
356	528	951
357	529	949
358	530	946
359	531	944
360	532	942
361	533	939
362	534	937
363	536	937
364	537	935
365	538	933
366	539	931
367	540	928
368	541	926
369	542	924
370	544	922
371	545	920
372	546	917
373	547	915
374	548	913
375	549	911
376	551	911
377	553	910
378	554	908
379	555	905
380	556	903
381	557	901
382	558	899
383	559	897
384	560	895
385	561	893
386	562	891
387	563	889
388	566	889
389	567	888
390	568	886
391	569	883
392	570	881
393	571	879
394	572	876
395	573	874
396	574	872
397	575	869
398	576	867
399	577	866
400	578	864
401	580	863
402	581	861
403	582	859
404	583	856
405	584	855
406	585	852
407	586	850
408	587	848
409	587	846
410	588	843
411	589	841
412	590	839
413	591	837
414	592	835
415	594	834
416	595	832
417	596	830
418	597	827
419	598	826
420	599	824
421	600	822
422	601	820
423	602	818
424	603	816
425	604	814
426	605	811
427	605	809
428	607	808
429	608	807
430	609	805
431	610	803
432	611	801
433	612	799
434	613	796
435	614	795
436	615	793
437	616	791
438	617	789
439	618	787
440	619	785
441	620	783
442	622	782
443	623	780
444	624	778
445	625	777
446	626	775
447	627	773
448	628	771
449	629	769
450	630	767
451	631	765
452	632	763
453	633	761
454	634	759
455	639	762
456	640	760
457	641	759
458	642	757
459	643	755
460	644	753
461	645	751
462	646	749
463	647	747
464	647	745
465	648	743
466	649	741
467	653	742
468	654	741
469	655	739
470	656	737
471	657	735
472	660	736
473	662	734
474	662	732
475	663	730
476	664	728
477	668	730
478	672	731
479	673	729
480	674	727
481	677	728
482	682	730
483	686	732
484	688	730
485	689	729
486	691	728
487	692	726
488	693	724
489	701	730
490	708	734
491	714	738
492	716	737
493	719	736
494	720	735
495	721	733
496	722	731
497	723	729
498	730	733
499	731	731
500	732	729
501	733	727
502	735	727
503	736	725
504	737	723
505	738	721
506	745	725
507	746	723
508	747	721
509	748	719
510	749	717
511	751	716
512	752	714
513	753	712
514	754	710
515	760	713
516	761	711
517	762	709
518	763	707
519	765	706
520	767	705
521	768	703
522	770	702
523	771	700
524	772	699
525	774	698
526	775	696
527	776	694
528	777	692
529	778	690
530	779	688
531	780	686
532	781	684
533	782	682
534	787	684
535	790	684
536	791	682
537	792	680
538	793	678
539	794	676
540	795	674
541	796	672
542	797	671
543	799	669
544	800	668
545	802	667
546	804	666
547	805	664
548	806	662
549	807	660
550	808	658
551	809	656
552	809	654
553	810	652
554	812	651
555	815	651
556	816	649
557	818	648
558	819	646
559	820	644
560	821	642
561	822	641
562	823	639
563	824	637
564	825	635
565	827	634
566	829	633
567	831	632
568	833	631
569	835	630
570	837	628
571	838	627
572	839	625
573	886	657
574	887	655
575	888	653
576	892	654
577	896	654
578	902	655
579	903	654
580	907	654
581	908	652
582	910	651
583	911	649
584	913	647
585	914	645
586	915	644
587	916	642
588	917	640
589	918	638
590	921	637
591	923	636
592	924	634
593	925	632
594	926	630
595	927	628
596	929	627
597	930	625
598	931	623
599	940	626
600	941	625
601	943	623
602	944	621
603	945	620
604	947	618
605	948	616
606	949	614
607	954	615
608	955	613
609	957	612
610	962	612
611	963	610
612	965	609
613	969	609
614	995	623
615	996	621
616	997	619
617	1003	620
618	1004	618
619	1008	617
620	1010	616
621	1012	615
622	1018	616
623	1020	614
624	1021	613
625	1024	612
626	1026	610
627	1027	608
628	1030	607
629	1033	606
630	1034	604
631	1035	602
632	1038	602
633	1040	600
634	1049	603
635	1051	601
636	1052	599
637	1056	599
638	1057	597
639	1067	600
640	1069	599
641	1071	597
642	1073	596
643	1076	595
644	1079	593
645	1081	592
646	1093	596
647	1095	595
648	1097	593
649	1098	591
650	1099	589
651	1107	591
652	1108	589
653	1109	586
654	1111	585
655	1112	583
656	1113	581
657	1114	579
658	1115	577
659	1119	576
660	1120	574
661	1121	572
662	1125	572
663	1126	570
664	1127	567
665	1128	565
666	1129	564
667	1132	562
668	1134	561
669	1135	559
670	1135	556
671	1136	554
672	1137	552
673	1138	550
674	1139	548
675	1140	546
676	1141	544
677	1142	542
678	1145	541
679	1147	540
680	1148	538
681	1149	536
682	1150	534
683	1151	532
684	1152	530
685	1153	528
686	1154	526
687	1155	524
688	1156	522
689	1157	520
690	1160	518
691	1161	517
692	1163	515
693	1164	513
694	1165	511
695	1166	509
696	1167	507
697	1168	505
698	1168	503
699	1169	501
700	1170	499
701	1171	497
702	1172	495
703	1174	493
704	1175	491
705	1177	490
706	1178	488
707	1179	486
708	1179	484
709	1180	482
710	1181	480
711	1182	478
712	1183	476
713	1184	474
714	1185	472
715	1186	470
716	1188	469
717	1189	467
718	1190	465
719	1191	463
720	1191	461
721	1192	459
722	1193	457
723	1193	455
724	1194	453
725	1195	451
726	1195	449
727	1196	447
728	1197	445
729	1197	443
730	1198	441
731	1199	439
732	1199	437
733	1200	435
734	1201	433
735	1203	431
736	1204	429
737	1205	427
738	1205	425
739	1206	423
740	1207	421
741	1207	419
742	1208	418
743	1209	416
744	1209	414
745	1210	412
746	1211	410
747	1211	408
748	1212	406
749	1213	404
750	1213	402
751	1214	400
752	1215	398
753	1216	396
754	1218	395
755	1219	393
756	1220	391
757	1220	389
758	1221	387
759	1222	386
760	1223	384
761	1224	382
762	1225	380
763	1225	378
764	1226	376
765	1227	374
766	1227	372
767	1228	371
768	1229	369
769	1229	367
770	1231	365
771	1232	364
772	1233	362
773	1234	360
774	1234	358
775	1235	356
776	1235	354
777	1236	352
778	1237	351
779	1238	349
780	1238	347
781	1239	345
782	1239	343
783	1240	341
784	1241	339
785	1241	338
786	1242	336
787	1242	334
788	1243	332
789	1244	330
790	1244	328
791	1246	327
792	1247	325
793	1248	323
794	1249	322
795	1249	320
796	1250	318
797	1251	316
798	1251	314
799	1252	313
800	1253	311
801	1253	309
802	1254	307
803	1255	305
804	1255	304
805	1256	302
806	1257	300
807	1257	298
808	1258	297
809	1259	295
810	1259	293
811	1261	292
812	1262	290
813	1263	288
814	1263	286
815	1264	285
816	1265	283
817	1267	281
818	1268	280
819	1269	278
820	1270	277
821	1271	275
822	1271	273
823	1272	271
824	1273	270
825	1273	268
826	1274	266
827	1276	265
828	1277	263
829	1277	261
830	1278	260
831	1279	258
832	1280	256
833	1280	254
834	1281	253
835	1282	251
836	1283	249
837	1284	248
838	1284	246
839	1285	244
840	1286	243
841	1286	241
842	1287	239
843	1288	238
844	1288	236
845	1289	234
846	1291	233
847	1292	231
848	1293	230
849	1293	228
850	1294	226
851	1295	224
852	1295	223
853	1296	221
854	1296	219
855	1297	218
856	1298	216
857	1298	214
858	1299	213
859	1300	211
860	1300	209
861	1301	208
862	1301	206
863	1302	205
864	1303	203
865	1304	201
866	1305	200
867	1306	198
868	1307	197
869	1307	195
870	1308	193
871	1309	192
872	1309	190
873	1310	188
874	1310	187
875	1311	185
876	1312	184
877	1313	182
878	1313	180
879	1314	179
880	1314	177
881	1315	175
882	1316	174
883	1316	172
884	1317	171
885	1317	169
886	1319	168
887	1321	166
888	1322	165
889	1326	163
890	1327	162
891	1329	160
892	1330	159
893	1331	157
894	1332	156
895	1334	154
896	1335	153
897	1336	151
898	1337	150
899	1338	148
900	1339	147
901	1340	145
902	1341	144
903	1342	142
904	1343	141
905	1344	139
906	1346	138
907	1347	136
908	1348	135
909	1349	133
910	1350	131
911	1351	130
912	1352	128
913	1352	127
914	1353	125
915	1354	124
916	1355	122
917	1356	121
918	1357	119
919	1357	118
920	1358	116
921	1361	115
922	1362	113
923	1362	112
924	1363	110
925	1364	109
926	1364	107
927	1365	105
928	1366	104
929	1366	102
930	1367	101
931	1367	99
932	1368	98
933	1369	96
934	1369	95
935	1370	93
936	1371	92
937	1371	90
938	1372	89
939	1373	87
940	1373	86
941	1374	84
942	1376	83
943	1377	81
944	1378	80
945	1378	78
946	1379	77
947	1380	75
948	1380	74
949	1381	72
950	1382	71
951	1382	69
952	1383	68
953	1384	66
954	1385	65
955	1385	63
956	1386	62
957	1387	60
958	1387	59
959	1388	57
960	1389	56
961	1391	54
962	1393	53
963	1394	52
964	1395	50
965	1395	49
966	1396	47
967	1397	46
968	1397	44
969	1398	43
970	1399	41
971	1399	40
972	1400	38
973	1400	37
974	1401	35
975	1402	34
976	1402	33
977	1403	31
978	1404	30
979	1406	28
980	1407	27
981	1408	25
982	1409	24
983	1410	22
984	1411	21
985	1412	20
986	1412	18
987	1413	17
988	1413	15
989	1414	14
990	1415	12
991	1415	11
992	1416	9
993	1416	8
994	1417	7
995	1418	5
996	1418	4
997	1421	2
998	1422	1
999	1422	0
